name,status,envtag,method,leaves_budget,seed,alg,env,difficulty,leaves_actual,depth,select,report,report_min,report_max,frac100,n_report,bigjumps,candjumps
bus14-d1_dtpo-scratchfull_L16_s100,ok,bus14-d1,dtpo-scratchfull,16,100,DTPO,bus14,1,16,8,16.51,16.51,13.57,35.00,0.0,40,0,0
bus14-d1_dtpo-scratchfull_L16_s101,ok,bus14-d1,dtpo-scratchfull,16,101,DTPO,bus14,1,16,6,14.73,14.73,13.57,59.97,0.0,40,0,0
bus14-d1_dtpo-scratchfull_L16_s102,ok,bus14-d1,dtpo-scratchfull,16,102,DTPO,bus14,1,16,6,85.03,85.03,85.03,85.03,0.0,40,1,24
bus14-d1_dtpo-scratchfull_L16_s103,ok,bus14-d1,dtpo-scratchfull,16,103,DTPO,bus14,1,16,9,16.21,16.21,13.53,63.58,0.0,40,0,0
bus14-d1_dtpo-scratchfull_L16_s104,ok,bus14-d1,dtpo-scratchfull,16,104,DTPO,bus14,1,16,8,13.66,13.66,13.62,13.67,0.0,40,0,0
bus14-d1_dtpo_L16_s100,ok,bus14-d1,dtpo,16,100,DTPO,bus14,1,16,7,20.51,20.51,2.89,60.06,0.0,40,0,0
bus14-d1_dtpo_L16_s101,ok,bus14-d1,dtpo,16,101,DTPO,bus14,1,16,8,87.46,87.46,87.46,87.46,0.0,40,6,0
bus14-d1_dtpo_L16_s102,ok,bus14-d1,dtpo,16,102,DTPO,bus14,1,16,10,13.53,13.53,13.53,13.53,0.0,40,0,0
bus14-d1_dtpo_L16_s103,ok,bus14-d1,dtpo,16,103,DTPO,bus14,1,16,10,87.46,87.46,87.46,87.46,0.0,40,2,0
bus14-d1_dtpo_L16_s104,ok,bus14-d1,dtpo,16,104,DTPO,bus14,1,16,7,46.50,46.50,13.53,60.06,0.0,40,7,0
bus14_dagger_s100,ok,bus14,dagger,,100,DAGGER,bus14,0,NA,NA,97.51,97.51,0.45,100.00,97.5,40,2,0
bus14_dagger_s101,ok,bus14,dagger,,101,DAGGER,bus14,0,NA,NA,97.84,97.84,13.48,100.00,97.5,40,2,0
bus14_dagger_s102,ok,bus14,dagger,,102,DAGGER,bus14,0,NA,NA,97.53,97.53,1.33,100.00,97.5,40,2,0
bus14_dagger_s103,ok,bus14,dagger,,103,DAGGER,bus14,0,NA,NA,96.26,96.26,1.53,100.00,67.5,40,0,0
bus14_dagger_s104,ok,bus14,dagger,,104,DAGGER,bus14,0,NA,NA,97.66,97.66,6.26,100.00,97.5,40,2,0
bus14_daggertree_L16_s100,ok,bus14,daggertree,16,100,DTPO,bus14,0,16,6,13.14,13.14,1.34,59.96,0.0,40,0,0
bus14_daggertree_L16_s101,ok,bus14,daggertree,16,101,DTPO,bus14,0,16,6,13.14,13.14,1.34,59.96,0.0,40,0,0
bus14_daggertree_L16_s102,ok,bus14,daggertree,16,102,DTPO,bus14,0,16,6,13.14,13.14,1.34,59.96,0.0,40,0,0
bus14_daggertree_L16_s103,ok,bus14,daggertree,16,103,DTPO,bus14,0,16,6,13.14,13.14,1.34,59.96,0.0,40,0,0
bus14_daggertree_L16_s104,ok,bus14,daggertree,16,104,DTPO,bus14,0,16,6,13.14,13.14,1.34,59.96,0.0,40,0,0
bus14_daggertree_L32_s100,ok,bus14,daggertree,32,100,DTPO,bus14,0,32,10,90.34,90.34,74.18,100.00,25.0,40,0,0
bus14_daggertree_L32_s101,ok,bus14,daggertree,32,101,DTPO,bus14,0,32,10,90.34,90.34,74.18,100.00,25.0,40,0,0
bus14_daggertree_L32_s102,ok,bus14,daggertree,32,102,DTPO,bus14,0,32,10,90.34,90.34,74.18,100.00,25.0,40,0,0
bus14_daggertree_L32_s103,ok,bus14,daggertree,32,103,DTPO,bus14,0,32,10,90.34,90.34,74.18,100.00,25.0,40,0,0
bus14_daggertree_L32_s104,ok,bus14,daggertree,32,104,DTPO,bus14,0,32,10,90.34,90.34,74.18,100.00,25.0,40,0,0
bus14_daggertree_L64_s100,ok,bus14,daggertree,64,100,DTPO,bus14,0,64,13,2.26,2.26,1.29,23.30,0.0,40,0,0
bus14_daggertree_L64_s101,ok,bus14,daggertree,64,101,DTPO,bus14,0,64,13,2.26,2.26,1.29,23.30,0.0,40,0,0
bus14_daggertree_L64_s102,ok,bus14,daggertree,64,102,DTPO,bus14,0,64,13,2.26,2.26,1.29,23.30,0.0,40,0,0
bus14_daggertree_L64_s103,ok,bus14,daggertree,64,103,DTPO,bus14,0,64,13,2.26,2.26,1.29,23.30,0.0,40,0,0
